ZIPCODE,owner,full_address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
02215,"BOSTON UNIVERSITY TRSTS","65 BAY STATE RD, 02215",42.35021,-71.0958,1,rooftop,65,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","519 BEACON ST, 02215",42.350341,-71.090611,1,rooftop,519,"Beacon St",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","178 BAY STATE RD, 02215",42.35024,-71.101641,1,rooftop,178,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","481 COMMONWEALTH AV, 02215",42.34938,-71.09392,1,rooftop,481,"Commonwealth Ave",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","483 COMMONWEALTH AV, 02215",42.349379,-71.094013,1,rooftop,483,"Commonwealth Ave",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","164 BAY STATE RD, 02215",42.35017,-71.10103,1,rooftop,164,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","198 BAY STATE RD, 02215",42.35032,-71.10246,1,rooftop,198,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","195 BAY STATE RD, 02215",42.3507,-71.10226,1,rooftop,195,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","BAY STATE RD, 02215",42.350419,-71.099727,1,street_center,,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"TIGER/Line® dataset from the US Census Bureau"
02215,"BOSTON UNIVERSITY TRSTS","116 BAY STATE RD, 02215",42.349952,-71.098553,1,rooftop,116,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","121 BAY STATE RD, 02215",42.350434,-71.098849,1,rooftop,121,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","141 BAY STATE RD, 02215",42.350502,-71.099771,1,rooftop,141,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","128 BAY STATE RD, 02215",42.350004,-71.099056,1,rooftop,128,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","203 BAY STATE RD, 02215",42.35073,-71.10259,1,rooftop,203,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","517 BEACON ST, 02215",42.35036,-71.090536,1,rooftop,517,"Beacon St",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","22 BABBITT ST, 02215",42.349242,-71.106143,1,rooftop,22,"Babbitt St",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","10 18 BUSWELL ST, 02215",42.347498,-71.105045,0.9,range_interpolation,10,"Buswell St",,,Boston,MA,"Suffolk County",02215,US,"TIGER/Line® dataset from the US Census Bureau"
02215,"BOSTON UNIVERSITY TRSTS","38 BUSWELL ST, 02215",42.34714,-71.10604,1,rooftop,38,"Buswell St",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
